Product Name,Prices,Description,Reviews
Daikin 2025 Model 1.5 Ton 3 Star Split Inverter AC,"₹33,490",Annual Power Usage: 966.47 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,4.2
Daikin 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹40,990",Annual Power Usage: 785.67 UnitsRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,4.2
"Blue Star 2023 Model 0.8 Ton 3 Star Split Inverter Multi Sensors, Self Clean Technology, Self Diagnosi...","₹41,500","Annual Power Usage: 521.6 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Excluding Remote Handset)",4.2
Samsung 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,"₹42,027",Annual Power Usage: 751.24 WRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,4.2
Voltas 2023 Model 1.5 Ton 5 Star Split AC,"₹43,119",Annual Power Usage: 742.94 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,4.2
CARRIER 2025 Model 1.5 Ton 3 Star Window AC,"₹27,950",Annual Power Usage: 1206.06 kWhRoom Size: 111 - 150 sqft1 Year on product and 4 Years on compressor,4.3
"CARRIER 2025 Model 2 Ton 5 Star Split Inverter with Wi-fi Smart Flexicool 6 in 1 Convertible, Smart En...","₹51,990","Annual Power Usage: 920.55 UnitsRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty  on Product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor",4.2
Haier 2025 Model 1.5 Ton 4 Star Split Triple Inverter with Wi-fi AC,"₹33,990",Annual Power Usage: 913 kWhRoom Size: 111 - 150 sqft5 years warranty on the product and 12 years warranty on the compressor,4.1
Haier 2021 Model 1.6 Ton 5 Star Split Inverter AC,"₹43,650",Annual Power Usage: 857.36 UnitsRoom Size: 151 - 200 sqft1 Year Warranty on Product and 12 Years on Compressor,4.1
Blue Star 2023 Model 1 Ton 3 Star Split AC,"₹31,449",Annual Power Usage: 681.21 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 5 Years Warranty on Compressor,4.1
CARRIER 2026 Model 1 Ton 3 Star Split Inverter AC,"₹30,490","Annual Power Usage: 604.99 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",4.2
CARRIER 2026 Model 1.5 Ton 3 Star Split Inverter with Wi-fi AC,"₹32,990","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",4.2
Blue Star 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹39,379","Annual Power Usage: 782.29 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years Warranty on PCB, 10 Years Warranty on Compressor",4.2
Haier 2025 Model 1.6 Ton 5 Star Split Inverter with Wi-fi AC,"₹42,919","Annual Power Usage: 836.95 WRoom Size: 151 - 200 sqft1 Year Product Warranty, 5 Years comprehensive warranty and 12 Years Warranty on Compressor",4.1
Voltas 2023 Model 1.5 Ton 3 Star Split Inverter Hot and Cold AC,"₹40,879",Annual Power Usage: 1045.71 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,4.2
Panasonic 2024 Model 1.5 Ton 5 Star Split Inverter AC,"₹42,228",Annual Power Usage: 774.19 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 5 Years Warranty on Compressor,4.3
CARRIER 2026 Model 1.5 Ton 3 Star Split Inverter AC,"₹32,990","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",4.2
Blue Star 2023 Model 2 Ton 5 Star Split Inverter AC,"₹51,000",Annual Power Usage: 935.89 UnitsRoom Size: 151 - 200 sqft60 months Warranty for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2.2 Tr from 11th January 2025 to 30th June 2025.,4.1
Panasonic 2024 Model 1.5 Ton 5 Star Split Inverter AC,"₹38,590","Annual Power Usage: 774.19 UnitsRoom Size: 111 - 150 sqft1 Year on Product, 5 Years on PCB and 10 Years on Compressor",4.3
Godrej 2024 Model 2 Ton 3 Star Split Inverter AC,"₹37,990","Annual Power Usage: 1183.2 UnitsRoom Size: 151 - 200 sqft1 Year Warranty on the Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",3.9
"IFB 2025 Model 1.5 Ton 5 Star Split Inverter Silver Plus Series with HD Compressor, AI, Dual Gold Fin,...","₹35,990","Annual Power Usage: 721.04 UnitsRoom Size: 111 - 150 sqft10 Year Warranty on Inverter Compressor, 5 Years on PCB, 1 Year on Product",4.1
Daikin 2025 Model 1.5 Ton 5 Star Split Inverter AC,"₹40,990",Annual Power Usage: 785.99 kWhRoom Size: 111 - 150 sqft5 Year Comprehensive Warranty from 1 st Nov 2025 to 31st Jan 2026,4.2
Blue Star 2023 Model 1.5 Ton 5 Star Split Inverter with Wi-fi 4-way swing and 5 in 1 convertible AC,"₹40,444",Annual Power Usage: 783.33 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,4.2
Whirlpool 2023 Model 1.5 Ton 5 Star Split Inverter With Heavy Duty Cooling AC,"₹36,750",Annual Power Usage: 701.52 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 4 Years Warranty on Compressor,4.2
